,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
382,saint-paul,28,RE,1584842889,69,75.2,-21.01,55.27,11.41
383,oros,100,BR,1584842889,95,73.15,-6.24,-38.91,5.39
384,sisimiut,0,GL,1584842890,62,-2.81,66.94,-53.67,6.15
385,jalu,58,LY,1584842890,22,62.89,29.03,21.55,16.49
386,ayaviri,100,PE,1584842890,87,42.19,-14.89,-70.59,5.37
387,smithers,20,CA,1584842890,29,48.2,54.78,-127.17,2.24
388,porto novo,20,BJ,1584842890,94,80.6,6.5,2.6,8.05
389,kikwit,100,CD,1584842891,93,69.73,-5.04,18.82,1.79
390,los llanos de aridane,20,ES,1584842891,59,62.6,28.66,-17.92,3.36
391,pitimbu,20,BR,1584842891,88,78.8,-7.47,-34.81,2.24
392,suleja,0,NG,1584842891,58,86.0,9.18,7.18,4.7
393,vokhtoga,0,RU,1584842892,76,19.51,58.81,41.05,5.32
394,hamilton,90,US,1584842892,64,36.0,39.18,-84.53,10.29
395,tanete,100,ID,1584842892,93,75.49,-3.94,119.78,1.92
396,sri aman,75,MY,1584842892,88,80.6,1.24,111.46,2.98
397,cosamaloapan,44,MX,1584842893,97,73.51,18.37,-95.8,6.04
398,ballinrobe,100,IE,1584842893,94,39.0,53.63,-9.23,6.02
399,sao miguel do araguaia,95,BR,1584842893,98,71.71,-13.28,-50.16,4.07
400,beringovskiy,100,RU,1584842893,91,31.03,63.05,179.32,19.35
401,iranshahr,100,IR,1584842893,75,65.23,27.2,60.68,11.56
402,makakilo city,90,US,1584842893,94,82.4,21.35,-158.09,5.82
403,great yarmouth,0,GB,1584842894,74,42.01,52.61,1.73,9.17
404,shingu,75,JP,1584842894,82,64.4,33.73,135.98,11.41
405,richards bay,100,ZA,1584842894,85,76.03,-28.78,32.04,9.22
406,wajir,100,KE,1584842894,71,79.81,1.75,40.06,12.82
407,murdochville,100,CA,1584842894,87,2.05,48.96,-65.5,17.0
408,uravakonda,0,IN,1584842895,26,84.49,14.95,77.27,8.43
409,ombessa,41,CM,1584842895,91,70.99,4.6,11.26,1.36
410,suicheng,5,CN,1584842895,39,62.35,33.9,117.93,14.5
411,uzhur,100,RU,1584842895,87,37.15,55.3,89.83,11.68
412,lesozavodsk,87,RU,1584842895,78,34.81,45.48,133.42,10.11
413,yar-sale,84,RU,1584842895,95,0.25,66.83,70.83,9.8
414,kelvington,100,CA,1584842727,95,12.13,52.17,-103.53,8.88
415,yanam,20,IN,1584842896,83,77.0,16.73,82.22,6.93
416,san cristobal,20,VE,1584842896,73,77.0,7.77,-72.22,2.24
417,leiyang,11,CN,1584842896,68,80.17,26.4,112.86,6.49
418,katherine,74,AU,1584842896,32,93.2,-14.47,132.27,13.87
419,mogadishu,0,SO,1584842707,75,82.15,2.04,45.34,10.16
420,limoges,96,FR,1584842653,87,48.99,45.75,1.33,4.7
421,umm lajj,0,SA,1584842897,42,56.05,25.02,37.27,6.6
422,pedasi,0,PA,1584842897,79,77.47,7.53,-80.03,17.63
423,komsomolskiy,47,UZ,1584842897,81,50.0,40.43,71.72,4.7
424,pierre,20,US,1584842702,52,44.6,44.37,-100.35,16.11
425,severnyy,75,RU,1584842897,95,32.0,50.68,36.55,11.18
426,waipawa,63,NZ,1584842898,68,69.8,-41.41,175.52,26.4
427,korla,3,CN,1584842898,22,44.35,41.76,86.15,3.78
428,braganca,100,BR,1584842898,97,73.69,-1.05,-46.77,0.49
429,pundaguitan,100,PH,1584842898,74,81.97,6.37,126.17,8.23
430,bonthe,100,SL,1584842898,80,79.45,7.53,-12.51,4.41
431,adrar,3,MR,1584842898,26,61.99,20.5,-10.07,11.21
432,kupang,20,ID,1584842738,66,87.8,-10.17,123.58,9.17
433,turayf,0,SA,1584842899,100,37.4,31.67,38.66,11.41
434,carayao,0,PY,1584842899,44,65.41,-25.18,-56.4,1.88
435,coos bay,1,US,1584842869,76,55.99,43.37,-124.22,19.46
436,pisco,40,PE,1584842899,78,75.2,-13.7,-76.22,6.93
437,teguise,2,ES,1584842899,59,60.8,29.06,-13.56,8.05
438,kysyl-syr,13,RU,1584842899,80,3.31,63.9,122.76,3.85
439,lucapa,100,AO,1584842900,96,67.03,-8.42,20.74,0.89
440,lardos,0,GR,1584842900,66,51.8,36.09,28.02,2.93
441,guerrero,0,MX,1584842900,91,58.39,17.67,-100.0,1.16
442,xuddur,51,SO,1584842900,79,72.79,4.12,43.89,12.48
443,bandarbeyla,22,SO,1584842900,80,82.15,9.49,50.81,8.72
444,arlit,0,NE,1584842900,22,78.55,18.74,7.39,8.5
445,waingapu,100,ID,1584842900,72,85.03,-9.66,120.26,9.17
446,buala,93,SB,1584842901,69,85.75,-8.14,159.59,9.84
447,along,0,IN,1584842901,47,70.63,28.17,94.77,2.21
448,misratah,0,LY,1584842822,77,60.55,32.38,15.09,2.3
449,waitati,66,NZ,1584842901,56,60.01,-45.75,170.57,18.99
450,karratha,0,AU,1584842901,67,86.83,-20.74,116.85,6.91
451,stejaru,100,RO,1584842901,81,43.0,44.77,28.55,13.87
452,tura,100,IN,1584842902,29,81.61,25.52,90.22,4.45
453,atyrau,38,KZ,1584842638,100,33.8,47.12,51.88,6.71
454,lianran,0,CN,1584842902,64,69.01,24.92,102.48,11.45
455,mareeba,75,AU,1584842902,83,80.6,-17.0,145.43,12.75
456,edea,75,CM,1584842902,94,80.6,3.8,10.13,2.24
457,muli,96,MV,1584842903,70,84.49,2.92,73.57,8.79
458,tabou,50,CI,1584842903,92,76.57,4.42,-7.35,2.13
459,frunzivka,100,UA,1584842903,91,38.59,47.33,29.75,14.47
460,juan de acosta,20,CO,1584842903,74,78.8,10.83,-75.03,17.22
461,chara,93,RU,1584842903,50,8.71,56.91,118.26,2.28
462,amazar,0,RU,1584842904,68,25.81,53.86,120.88,4.27
463,mitsamiouli,66,KM,1584842904,76,83.77,-11.38,43.28,13.76
464,avera,1,US,1584842904,64,75.2,33.19,-82.53,4.7
465,banda aceh,84,ID,1584842904,54,85.39,5.56,95.32,5.26
466,icatu,75,BR,1584842904,100,75.2,-2.78,-44.07,4.7
467,ouidah,20,BJ,1584842904,94,80.6,6.36,2.09,8.05
468,chapais,1,CA,1584842905,60,5.0,49.78,-74.85,5.82
469,sebezh,0,RU,1584842905,60,25.99,56.3,28.47,8.1
470,constitucion,100,CL,1584842905,91,51.37,-35.33,-72.42,7.05
471,jati,86,PK,1584842906,69,74.59,24.35,68.27,10.07
472,porbandar,65,IN,1584842906,88,74.95,21.64,69.61,5.48
473,wuwei,0,CN,1584842867,25,53.17,37.93,102.64,5.41
474,kieta,98,PG,1584842906,71,85.03,-6.22,155.63,8.28
475,zhezkazgan,40,KZ,1584842907,100,37.4,47.8,67.71,11.18
476,sibolga,83,ID,1584842827,65,84.13,1.74,98.78,2.82
477,arua,16,UG,1584842908,81,69.19,3.02,30.91,1.63
478,vardo,100,NO,1584842908,96,35.89,70.37,31.11,29.04
479,makaha,90,US,1584842908,94,82.4,21.47,-158.22,5.82
480,borgo san dalmazzo,20,IT,1584842909,71,53.01,44.33,7.49,3.36
481,kerrville,90,US,1584842665,87,51.01,30.05,-99.14,3.36
482,redlands,40,US,1584842909,74,71.6,34.06,-117.18,5.82
483,fare,80,PF,1584842909,67,84.67,-16.7,-151.02,6.69
484,teya,100,RU,1584842910,91,32.11,60.38,92.63,6.31
485,ha tinh,0,VN,1584842732,88,75.31,18.33,105.9,4.59
486,viljoenskroon,15,ZA,1584842910,83,62.01,-27.21,26.95,0.74
487,laguna,1,US,1584842910,100,66.2,38.42,-121.42,6.93
488,ganzhou,100,CN,1584842910,82,72.61,28.82,115.43,3.65
489,puerto asis,63,CO,1584842910,78,76.75,0.51,-76.5,2.75
490,marang,40,MY,1584842911,88,78.8,5.21,103.21,2.24
491,jackson,1,US,1584842694,36,66.2,42.42,-122.83,10.29
492,thunder bay,20,CA,1584842892,53,23.0,48.4,-89.32,5.82
493,maridi,57,SS,1584842911,81,71.17,4.92,29.47,4.52
494,zyryanka,100,RU,1584842911,63,9.61,65.75,150.85,3.56
495,conceicao da barra,98,BR,1584842911,84,80.89,-18.59,-39.73,20.13
496,haines junction,100,CA,1584842912,95,19.69,60.75,-137.51,7.83
497,manzil salim,75,TN,1584842912,93,48.2,35.86,8.48,6.93
498,maragogi,100,BR,1584842912,76,82.87,-9.01,-35.22,12.15
499,shaoguan,57,CN,1584842912,70,78.55,24.8,113.58,3.69
500,alcanede,20,PT,1584842912,100,48.99,39.41,-8.82,2.24
501,katsuura,100,JP,1584842913,46,69.8,35.13,140.3,25.28
502,nenjiang,0,CN,1584842913,67,29.23,49.18,125.22,5.17
503,ulladulla,1,AU,1584842913,34,78.8,-35.35,150.47,5.82
504,nome,90,US,1584842625,87,12.99,64.5,-165.41,9.17
505,lazaro cardenas,0,MX,1584842913,85,73.51,17.96,-102.2,1.59
506,dhidhdhoo,85,MV,1584842621,64,83.95,6.88,73.1,5.95
507,ko samui,20,TH,1584842867,74,84.2,9.54,99.94,2.24
508,hibbing,1,US,1584842914,35,28.4,47.43,-92.94,8.46
509,primorsk,100,UA,1584842914,86,44.71,46.73,36.34,14.45
510,niteroi,90,BR,1584842914,94,71.6,-22.88,-43.1,8.05
511,irapuato,40,MX,1584842760,31,78.8,20.68,-101.35,4.7
512,byron bay,0,AU,1584842915,61,82.99,-28.65,153.62,10.29
513,buga,20,CO,1584842915,64,75.2,3.9,-76.3,8.05
514,kenai,90,US,1584842915,97,36.0,60.55,-151.26,4.7
515,ahuimanu,75,US,1584842915,69,82.4,21.44,-157.84,11.41
516,kendari,98,ID,1584842915,65,85.21,-3.94,122.5,5.28
517,ahipara,4,NZ,1584842915,82,68.83,-35.17,173.17,14.85
518,guadalupe victoria,5,MX,1584842910,32,69.8,32.29,-115.11,5.41
519,dire,12,ML,1584842916,21,77.11,12.28,-10.97,2.3
520,vao,1,NC,1584842916,72,76.57,-22.67,167.48,17.25
521,roald,91,NO,1584842916,56,41.0,62.58,6.13,11.41
522,novyy urengoy,16,RU,1584842916,97,-9.11,66.08,76.63,9.04
523,vila franca do campo,75,PT,1584842920,62,53.6,37.72,-25.43,12.75
524,lekoni,100,GA,1584842921,86,70.99,-1.58,14.26,2.71
525,horki,29,BY,1584842921,52,26.17,54.29,30.98,16.37
526,sambava,0,MG,1584842921,96,68.65,-14.27,50.17,3.02
527,vostok,99,RU,1584842922,89,27.97,46.49,135.88,8.23
528,venice,1,US,1584842922,88,75.0,27.1,-82.45,12.33
529,kutum,67,SD,1584842923,20,60.73,14.2,24.67,4.99
530,palmer,20,US,1584842923,53,39.0,42.16,-72.33,6.93
531,santiago,0,CL,1584842787,59,60.8,-33.46,-70.65,8.05
532,bokoro,100,TD,1584842923,14,78.73,12.38,17.06,8.7
533,gamba,100,GA,1584842923,84,75.31,-2.65,10.0,2.68
534,christchurch,0,NZ,1584842786,28,80.6,-43.53,172.63,8.05
535,manado,40,ID,1584842923,83,80.6,1.49,124.85,3.36
536,fort nelson,40,CA,1584842924,29,39.2,58.81,-122.7,8.05
537,san vicente,0,AR,1584842924,55,62.89,-26.62,-54.13,3.76
538,samana,0,DO,1584842924,94,65.59,19.21,-69.34,2.51
539,sokolo,9,ML,1584842924,25,72.43,14.73,-6.12,4.79
540,paamiut,100,GL,1584842812,55,20.95,61.99,-49.67,9.1
541,nokaneng,22,BW,1584842924,77,68.65,-19.67,22.27,6.44
542,kudahuvadhoo,100,MV,1584842925,73,83.95,2.67,72.89,10.58
543,hot springs,1,US,1584842710,66,51.8,34.5,-93.06,6.93
544,lady frere,0,ZA,1584842868,40,54.79,-31.7,27.23,4.41
545,oussouye,0,SN,1584842925,73,75.2,12.48,-16.55,6.93
546,orlovskiy,100,RU,1584842927,90,43.09,46.87,42.06,7.85
547,laredo,90,US,1584842927,93,57.2,27.51,-99.51,8.05
548,yining,100,CN,1584842927,82,72.07,29.04,114.56,2.15
549,high level,75,CA,1584842788,85,32.0,58.52,-117.14,6.93
550,ust-karsk,99,RU,1584842928,82,27.43,52.7,118.81,4.25
551,amga,73,RU,1584842928,85,20.77,60.9,131.96,3.31
552,praia,20,CV,1584842929,77,69.8,14.92,-23.51,14.99
553,ust-nera,0,RU,1584842929,72,2.59,64.57,143.2,1.97
554,liverpool,100,GB,1584842703,72,39.0,53.41,-2.98,12.75
555,mackay,75,AU,1584842929,66,84.2,-21.15,149.2,14.99
556,crisan,100,RO,1584842930,81,43.0,44.97,29.47,13.87
557,atambua,5,ID,1584842930,74,82.33,-9.11,124.89,4.25
558,warner robins,1,US,1584842930,60,70.0,32.62,-83.6,10.29
559,hokitika,34,NZ,1584842930,78,61.63,-42.72,170.97,11.86
560,yizheng,0,CN,1584842930,64,69.01,24.67,103.43,10.69
561,araouane,11,ML,1584842931,17,70.45,18.9,-3.53,6.82
562,sehwan,59,PK,1584842931,77,69.8,26.43,67.86,4.7
563,donskoy,85,RU,1584842931,57,24.91,53.97,38.34,15.59
564,ban nahin,10,LA,1584842932,56,88.0,18.24,104.21,4.72
565,ambilobe,0,MG,1584842884,89,72.07,-13.2,49.05,6.69
566,faranah,14,GN,1584842932,59,75.49,10.04,-10.74,4.85
567,necochea,21,AR,1584842932,61,71.01,-38.55,-58.74,11.01
568,mugla,37,TR,1584842933,93,46.4,37.23,28.36,3.36
569,port hardy,20,CA,1584842933,66,48.2,50.7,-127.42,12.75
570,hualmay,90,PE,1584842933,73,70.81,-11.1,-77.61,1.97
571,el cope,32,PA,1584842933,42,75.0,8.62,-80.6,10.6
572,abashiri,75,JP,1584842933,45,42.8,44.02,144.27,1.12
573,narrabri,0,AU,1584842933,30,86.0,-30.32,149.78,10.29
574,westport,1,US,1584842933,24,45.0,41.14,-73.36,11.41
575,mgandu,100,TZ,1584842934,97,59.11,-5.95,34.13,6.49
576,dalhousie,0,IN,1584842934,57,57.85,32.53,75.98,5.91
577,aswan,0,EG,1584842934,58,52.09,24.09,32.91,8.7
578,seoul,1,KR,1584842716,34,55.4,37.57,126.98,4.7
579,hovd,0,MN,1584842934,16,42.19,48.01,91.64,4.97
580,touros,20,BR,1584842934,88,77.0,-5.2,-35.46,3.36
581,ballina,40,AU,1584842935,61,82.99,-28.87,153.57,8.05
582,kargil,44,IN,1584842935,72,15.55,34.57,76.1,2.3
583,humenne,0,SK,1584842935,74,32.0,48.94,21.92,24.16
